###Consider the right boundary of PEOPT
###Consider the left boundary of C60
###Consider the right boundary of C60
###Wavelength is from 400  to 700
###11nm PEOPT and 35nm C60 can construct the optimal soalr cell
The intergarl of ICPE is 3621.157
###The thickness of PEOPT	The thickness of C60	The total ICPE
71	71	1392.63
74	71	1378.72
77	71	1364.12
80	71	1348.91
83	71	1333.22
86	71	1317.16
89	71	1300.83
92	71	1284.36
95	71	1267.83
98	71	1251.36
101	71	1235.01
5	74	1424.99
8	74	1438.21
11	74	1438.00
14	74	1430.20
17	74	1419.26
20	74	1407.72
23	74	1396.77
26	74	1386.87
29	74	1378.06
32	74	1370.22
35	74	1363.11
38	74	1356.48
41	74	1350.07
44	74	1343.62
47	74	1336.91
50	74	1329.75
53	74	1321.99
56	74	1313.52
59	74	1304.27
62	74	1294.22
65	74	1283.36
68	74	1271.73
71	74	1259.39
74	74	1246.43
77	74	1232.93
80	74	1218.99
83	74	1204.73
86	74	1190.24
89	74	1175.62
92	74	1160.97
95	74	1146.38
98	74	1131.91
101	74	1117.62
5	77	1277.11
8	77	1288.63
11	77	1289.44
14	77	1284.21
17	77	1276.44
20	77	1268.11
23	77	1260.15
26	77	1252.88
29	77	1246.32
32	77	1240.34
35	77	1234.72
38	77	1229.27
41	77	1223.75
44	77	1217.97
47	77	1211.76
50	77	1204.98
53	77	1197.54
56	77	1189.38
59	77	1180.48
62	77	1170.84
65	77	1160.49
68	77	1149.51
71	77	1137.96
74	77	1125.93
77	77	1113.52
80	77	1100.83
83	77	1087.95
86	77	1074.97
89	77	1061.97
92	77	1049.03
95	77	1036.22
98	77	1023.58
101	77	1011.16
5	80	1148.47
8	80	1159.16
11	80	1161.30
14	80	1158.50
17	80	1153.49
20	80	1147.85
23	80	1142.28
26	80	1137.03
29	80	1132.12
32	80	1127.43
35	80	1122.80
38	80	1118.05
41	80	1113.02
44	80	1107.56
47	80	1101.55
50	80	1094.91
53	80	1087.59
56	80	1079.58
59	80	1070.89
62	80	1061.56
65	80	1051.65
68	80	1041.23
71	80	1030.39
74	80	1019.22
77	80	1007.81
80	80	996.25
83	80	984.62
86	80	973.00
89	80	961.45
92	80	950.04
95	80	938.79
98	80	927.75
101	80	916.94
5	83	1040.06
8	83	1050.83
11	83	1054.62
14	83	1054.16
17	83	1051.59
20	83	1048.15
23	83	1044.44
26	83	1040.68
29	83	1036.89
32	83	1033.00
35	83	1028.89
38	83	1024.43
41	83	1019.52
44	83	1014.05
47	83	1007.96
50	83	1001.23
53	83	993.83
56	83	985.80
59	83	977.17
62	83	968.01
65	83	958.39
68	83	948.41
71	83	938.14
74	83	927.68
77	83	917.11
80	83	906.50
83	83	895.94
86	83	885.47
89	83	875.14
92	83	865.00
95	83	855.06
98	83	845.34
101	83	835.85
5	86	952.60
8	86	964.37
11	86	970.16
14	86	971.99
17	86	971.55
20	86	969.89
23	86	967.56
26	86	964.78
29	86	961.63
32	86	958.08
35	86	954.07
38	86	949.52
41	86	944.38
44	86	938.60
47	86	932.17
50	86	925.10
53	86	917.40
56	86	909.15
59	86	900.40
62	86	891.24
65	86	881.74
68	86	872.01
71	86	862.13
74	86	852.18
77	86	842.24
80	86	832.37
83	86	822.62
86	86	813.05
89	86	803.68
92	86	794.52
95	86	785.60
98	86	776.91
101	86	768.45
5	89	886.53
8	89	900.20
11	89	908.35
14	89	912.43
17	89	913.85
20	89	913.57
23	89	912.16
26	89	909.90
29	89	906.93
32	89	903.28
35	89	898.96
38	89	893.96
41	89	888.26
44	89	881.87
47	89	874.82
50	89	867.16
53	89	858.94
56	89	850.25
59	89	841.17
62	89	831.80
65	89	822.22
68	89	812.53
71	89	802.81
74	89	793.14
77	89	783.58
80	89	774.19
83	89	765.00
86	89	756.05
89	89	747.34
92	89	738.89
95	89	730.69
98	89	722.74
101	89	715.01
5	92	841.98
8	92	858.43
11	92	869.28
14	92	875.56
17	92	878.56
20	92	879.26
23	92	878.32
26	92	876.12
29	92	872.88
32	92	868.72
35	92	863.71
38	92	857.88
41	92	851.30
44	92	844.00
47	92	836.06
50	92	827.55
53	92	818.57
56	92	809.21
59	92	799.58
62	92	789.77
65	92	779.88
68	92	770.00
71	92	760.20
74	92	750.56
77	92	741.13
80	92	731.95
83	92	723.04
86	92	714.43
89	92	706.11
92	92	698.08
95	92	690.33
98	92	682.84
101	92	675.58
5	95	818.76
8	95	838.80
11	95	852.62
14	95	861.01
17	95	865.27
20	95	866.54
23	95	865.62
26	95	863.02
29	95	859.07
32	95	853.99
35	95	847.90
38	95	840.92
41	95	833.13
44	95	824.63
47	95	815.53
50	95	805.94
53	95	795.95
56	95	785.69
59	95	775.27
62	95	764.80
65	95	754.36
68	95	744.05
71	95	733.94
74	95	724.08
77	95	714.53
80	95	705.30
83	95	696.41
86	95	687.88
89	95	679.68
92	95	671.82
95	95	664.26
98	95	656.98
101	95	649.95
5	98	816.22
8	98	840.54
11	98	857.52
14	98	867.87
17	98	873.05
20	98	874.45
23	98	873.09
26	98	869.64
29	98	864.56
32	98	858.16
35	98	850.64
38	98	842.17
41	98	832.89
44	98	822.93
47	98	812.42
50	98	801.49
53	98	790.28
56	98	778.91
59	98	767.49
62	98	756.13
65	98	744.94
68	98	733.98
71	98	723.32
74	98	713.02
77	98	703.11
80	98	693.60
83	98	684.50
86	98	675.81
89	98	667.51
92	98	659.57
95	98	651.98
98	98	644.70
101	98	637.68
5	101	833.22
8	101	862.37
11	101	882.58
14	101	894.65
17	101	900.37
20	101	901.46
23	101	899.19
26	101	894.46
29	101	887.86
32	101	879.78
35	101	870.51
38	101	860.26
41	101	849.23
44	101	837.56
47	101	825.43
50	101	812.98
53	101	800.35
56	101	787.67
59	101	775.07
62	101	762.65
65	101	750.50
68	101	738.71
71	101	727.32
74	101	716.38
77	101	705.91
80	101	695.92
83	101	686.41
86	101	677.36
89	101	668.76
92	101	660.56
95	101	652.75
98	101	645.27
101	101	638.09
